Investment_ID,Asset_Class,Investment_Name,Investment_Mode,Location,Investment_Date,Initial_Amount,Current_Balance,ROI_Percentage,Risk_Profile,Status
INV001,Equity,N/A,SIP,India,2019-03-12,12000,18500,54.17,High,Active
INV002,Debt,N/A,Lump Sum,US,2018-06-20,25000,28500,14.00,Low,Active
INV003,Crypto,N/A,Lump Sum,Global,2021-11-10,5000,1200,-76.00,High,Active
INV004,Real Estate,N/A,Lump Sum,Europe,2018-01-15,50000,62000,24.00,Medium,Active
INV005,Gold,N/A,Lump Sum,India,2020-05-22,10000,14200,42.00,Low,Active
INV006,Equity,N/A,IPO,US,2024-01-15,15000,15000,0.00,High,Active
INV007,Debt,N/A,SIP,Europe,2020-09-30,8000,8600,7.50,Low,Redeemed
INV008,Equity,N/A,SIP,Emerging Markets,2022-03-14,20000,21500,7.50,Medium,Active
INV009,Crypto,N/A,Lump Sum,Global,2024-01-10,3000,2800,-6.67,High,Active
INV010,Real Estate,N/A,Lump Sum,US,2019-11-05,45000,51000,13.33,Medium,Active
INV011,Gold,N/A,SIP,India,2021-02-18,5000,6100,22.00,Low,Active
INV012,Equity,N/A,Lump Sum,India,2023-06-25,12000,13800,15.00,High,Active
INV013,Debt,N/A,Lump Sum,Emerging Markets,2018-12-12,30000,31000,3.33,Low,Redeemed
INV014,Equity,N/A,SIP,US,2020-07-20,15000,22000,46.67,High,Active
INV015,Crypto,N/A,Lump Sum,Global,2023-12-01,2000,1800,-10.00,High,Active
INV016,Real Estate,N/A,Lump Sum,India,2018-04-10,48000,72000,50.00,Medium,Active
INV017,Gold,N/A,Lump Sum,Europe,2019-08-15,15000,19500,30.00,Low,Active
INV018,Debt,N/A,SIP,US,2021-10-10,6000,6300,5.00,Low,Active
INV019,Equity,N/A,IPO,India,2021-05-05,25000,45000,80.00,High,Active
INV020,Equity,N/A,SIP,Europe,2022-11-20,10000,11200,12.00,Medium,Active
INV021,Crypto,N/A,Lump Sum,Global,2021-04-12,4000,900,-77.50,High,Redeemed
INV022,Debt,N/A,Lump Sum,India,2019-01-25,20000,23000,15.00,Low,Active
